433 Eros,3.724528112436075,-0.3726508907329901,13.37,1.6354395752028025e-07
719 Albert,3.0747201971445235,-0.05451932335442278,22.2,5.42885153652826e-09
887 Alinda,0.0960631384911787,-0.16117320514886546,15.55,1.278398029129182e-07
1036 Ganymed,1.7797193168079364,-0.28509928002045254,13.24,5.766819814843842e-08
1221 Amor,5.8270272153290446,-0.18240170190137558,23.03,7.620723545704927e-08
1362 Griqua,3.924233213166199,0.10883047232479245,18.49,3.906282905101509e-08
1373 Cincinnati,3.953822744458847,-0.8947313609868658,18.91,4.5759580180554105e-08
1566 Icarus,4.6705334279832735,-0.3488949693869121,18.09,1.7272715545796045e-07
1580 Betulia,0.8845099207748967,0.6141734490072839,19.36,5.671018454270207e-08
1620 Geographos,5.18985348388906,-0.4234243209147587,17.61,2.3180306542763705e-07
1627 Ivar,4.639858497972559,-0.3355429529630395,15.7,1.8604103895582144e-07
1685 Toro,3.425285589734087,-0.30704741475880226,16.86,8.715609585919624e-08
1862 Apollo,3.138000494266017,0.13814513962619346,20.54,2.3572647237203916e-08
1863 Antinous,0.5917218733872444,0.6355889635321996,21.29,2.274810138513565e-08
1864 Daedalus,4.693442291846857,-0.5744359062500245,16.49,2.6657064518238885e-07
1865 Cerberus,5.823854620649664,-0.0702165077410887,20.58,1.1241640557616697e-07
1866 Sisyphus,3.8375303387780946,0.38105635550539835,18.08,4.78500533207212e-08
1915 Quetzalcoatl,0.17285078309918456,-0.21963961479000724,23.91,3.716472098911005e-08
1916 Boreas,3.1902500646222784,-0.038328494792292736,20.46,2.618607275760112e-08
1917 Cuyo,4.977007597163708,-0.13339152116860264,17.71,1.3341241213654512e-07
1921 Pala,6.136436347955537,0.12701400517264408,18.94,9.508635400483377e-08
1922 Zulu,0.023613762837336835,0.2944684798311854,18.41,4.288239114298977e-08
1943 Anteros,3.415689396742481,-0.32676204801871844,18.06,1.9058094048506647e-07
1951 Lick,3.162705414975144,0.12971688318457086,16.32,1.4916368434398793e-07
1980 Tezcatlipoca,3.1432771124530574,-0.5584982300717576,18.48,5.584240371215775e-08
1981 Midas,5.915342905750523,0.16119360039697903,18.75,1.3461248653025986e-07
2059 Baboquivari,3.3504810531466225,-0.17558111214801891,22.11,2.4342682622928024e-08
2061 Anza,3.8579010655096018,-0.2766070254383515,22.68,5.443311918936348e-08
2062 Aten,4.528994471425856,-0.266241409115841,18.6,2.492667042711586e-07
2063 Bacchus,4.315678868836901,-0.4022163123455999,20.44,1.463114804630907e-07
2100 Ra-Shalom,5.112613059854152,-0.2745898664908452,18.2,1.972501241606957e-07
2101 Adonis,3.565256651799822,-0.18076564165706574,23.38,3.934340019848532e-08
2102 Tantalus,5.961744482382768,-1.0674511009500836,19.77,1.2761740248901218e-07
2135 Aristaeus,5.508998635316397,-0.08951753679703062,22.75,8.860166883063104e-08
2201 Oljato,0.005271284646121653,-0.03766556119802309,21.08,2.7527825040454205e-08
2202 Pele,5.048486954202588,-0.3041001956152331,20.96,1.2351419594331433e-07
2212 Hephaistos,0.4780838729345691,0.2739921273121161,19.99,6.419623413513893e-09
2329 Orthos,3.861364092402236,-0.10232999451281771,18.98,1.0888761285686561e-07
2340 Hathor,5.89300676471669,-0.15920620720555503,22.5,2.34913936777259e-07
2368 Beltrovata,1.3983987624759089,0.4532795964492132,17.96,5.3599986927884623e-08
2608 Seneca,1.058355937200262,-0.005690736895594186,22.01,4.130891788345733e-08
3102 Krok,2.756916134515131,0.06211278563410944,21.48,1.1666367152297021e-08
3103 Eger,4.179864109146869,-0.07377700902348393,19.74,1.0819282429754217e-07
3122 Florence,3.2626102795910756,-0.12868876075629226,18.85,3.935067616996322e-08
3199 Nefertiti,3.42854278494883,-0.21383196070345797,18.63,8.268470111340203e-08
3200 Phaethon,5.453960510555913,-0.08432133161684956,16.34,3.417457766803912e-07
3271 Ul,3.059430616167407,0.004018615878066502,21.68,1.9765423832662475e-08
3288 Seleucus,6.067200344652543,-0.03718419081530974,20.8,5.717235020956271e-08
3352 McAuliffe,5.21476556499145,-0.37917208456654533,21.04,8.350016586030819e-08
3360 Syrinx,1.4370563484306236,0.15127251369938569,20.0,6.171953297613241e-08
3361 Orpheus,4.565154701975883,-0.3817453121660848,22.02,1.5645985088726682e-07
3362 Khufu,5.227749841773942,-0.335287982259662,20.31,2.279953962281461e-07
3551 Verenia,3.1066579062745356,-0.040360393585859876,21.9,1.307354873480579e-08
3552 Don Quixote,2.176432682805809,0.911772322618637,21.11,2.7567023730706086e-08
3553 Mera,3.751031340097433,-0.7781058343222567,18.97,1.6858464178281747e-07
3554 Amun,4.2522338399047825,-0.5384947646232816,18.65,1.8625803598437057e-07
3671 Dionysus,0.6930734548551915,0.14316872081136484,20.8,2.3578271344319388e-08
3688 Navajo,0.8012910860125545,0.34979094189576443,19.27,1.4886317221538867e-08
3691 Bede,6.013506944856729,0.021324613998709666,19.37,8.211872475463633e-08
3752 Camillo,5.582513544723451,-0.42565681029155006,18.93,1.1252114760961236e-07
3753 Cruithne,4.597202456187162,-0.2711009454135722,16.58,2.7146442118167323e-07
3757 Anagolay,4.330303973647083,-0.36639661215687924,23.97,8.613460207832558e-08
3800 Karayusuf,5.797189354788441,-0.40356237862010996,18.97,1.278302698509864e-07
3838 Epona,1.9118389820548516,-0.27223741144434915,19.55,8.16313425383528e-08
3908 Nyx,0.2195548419928961,0.10753170936236885,18.36,2.6963079641475094e-07
3988 Huma,4.6227946325644265,-0.3660057664167561,20.73,1.8314107476783676e-07
